depth vsv   vsh   vpv   vph   eta   rho   c     thick
0.000000 1.254000 1.254000 2.508000 2.508000 1.000000 1.444131 0.000000 0.175000
0.175000 2.444000 2.444000 4.888000 4.888000 1.000000 2.301169 0.000000 0.000000
0.175000 3.211289 3.390272 5.501425 5.893962 0.839490 2.639483 0.019060 4.649333
4.824333 3.338932 3.457928 5.774010 6.161922 0.837987 2.703498 0.151444 4.649333
9.473666 3.441631 3.513527 5.926644 6.285886 0.838731 2.749182 0.246107 4.649333
14.122999 3.523094 3.560186 6.000830 6.314904 0.842834 2.782102 0.300388 4.649333
18.772333 3.589895 3.601337 6.036435 6.297549 0.850123 2.807962 0.330410 4.649333
23.421667 3.649126 3.640461 6.072781 6.282071 0.859720 2.832465 0.359178 4.649333
28.071001 3.707691 3.681041 6.149290 6.316718 0.869512 2.861315 0.411592 4.649333
32.720333 3.772912 3.726599 6.305092 6.449555 0.875377 2.900216 0.518156 4.649333
37.369667 3.854386 3.780810 6.577605 6.727799 0.872281 2.954870 0.729062 4.649333
42.019001 3.967060 3.847600 6.999239 7.195660 0.857027 3.030821 1.143088 0.000000
42.019001 4.364475 4.715622 7.812422 8.092511 0.935658 3.211682 -0.373340 17.553444
59.572445 4.334010 4.441029 7.645245 8.117491 0.955977 3.204329 -1.982618 17.553444
77.125893 4.312934 4.389559 7.631072 8.104431 0.968566 3.188844 -2.255360 17.553444
94.679337 4.295399 4.449511 7.643096 8.002896 0.974095 3.175203 -1.676122 17.553444
112.232780 4.278021 4.525471 7.585887 7.791701 0.974166 3.172372 -0.761111 17.553444
129.786224 4.267541 4.590232 7.491562 7.566453 0.973931 3.185268 -0.016640 17.553444
147.339676 4.273236 4.633635 7.424129 7.451954 0.979423 3.217793 0.148194 17.553444
164.893127 4.304381 4.645523 7.447592 7.573011 0.996673 3.273852 -0.715675 17.553444
182.446579 4.370246 4.615741 7.625967 8.054429 1.031725 3.357347 -3.529851 17.553444
200.000031 4.479842 4.534330 8.022333 9.018769 1.090503 3.471944 -10.605838 0.000000
