radius  rho      vpv      vsv      qkappa   qshear   vph      vsh      eta
1 1.00000 1
152 25 71
       0 13012.20 11262.20  3667.80    601.3     85.0 11262.20  3667.80  1.00000
   50710 13011.70 11261.80  3667.50    601.3     85.0 11261.80  3667.50  1.00000
  101430 13010.00 11260.60  3666.70    601.5     85.0 11260.60  3666.70  1.00000
  152140 13007.40 11258.60  3665.30    601.7     85.0 11258.60  3665.30  1.00000
  202850 13003.60 11255.70  3663.30    602.0     85.0 11255.70  3663.30  1.00000
  253560 12998.80 11252.10  3660.80    602.5     85.0 11252.10  3660.80  1.00000
  304280 12992.90 11247.70  3657.70    603.0     85.0 11247.70  3657.70  1.00000
  354990 12985.90 11242.40  3654.00    603.7     85.0 11242.40  3654.00  1.00000
  405700 12977.90 11236.40  3649.80    604.4     85.0 11236.40  3649.80  1.00000
  456410 12968.80 11229.50  3645.00    605.3     85.0 11229.50  3645.00  1.00000
  507130 12958.60 11221.90  3639.60    606.3     85.0 11221.90  3639.60  1.00000
  557840 12947.40 11213.40  3633.70    607.3     85.0 11213.40  3633.70  1.00000
  608550 12935.10 11204.10  3627.20    608.5     85.0 11204.10  3627.20  1.00000
  659260 12921.70 11194.10  3620.20    609.7     85.0 11194.10  3620.20  1.00000
  709980 12907.20 11183.20  3612.60    611.1     85.0 11183.20  3612.60  1.00000
  760690 12891.70 11171.50  3604.40    612.6     85.0 11171.50  3604.40  1.00000
  811400 12875.10 11159.00  3595.70    614.2     85.0 11159.00  3595.70  1.00000
  862110 12857.40 11145.70  3586.40    615.9     85.0 11145.70  3586.40  1.00000
  912830 12838.70 11131.60  3576.50    617.8     85.0 11131.60  3576.50  1.00000
  963540 12818.80 11116.60  3566.10    619.7     85.0 11116.60  3566.10  1.00000
 1014250 12798.00 11098.30  3555.10    621.5     85.0 11098.30  3555.10  1.00000
 1064960 12776.00 11085.00  3543.50    624.1     85.0 11085.00  3543.50  1.00000
 1115680 12753.00 11071.80  3531.40    626.9     85.0 11071.80  3531.40  1.00000
 1166390 12728.90 11058.50  3518.70    629.9     85.0 11058.50  3518.70  1.00000
 1217500 12703.70 11042.70  3504.30    633.3     85.0 11042.70  3504.30  1.00000
 1217500 12139.10 10289.00     0.00  57822.0      0.0 10289.00     0.00  1.00000
 1267430 12113.30 10285.40     0.00  57822.0      0.0 10285.40     0.00  1.00000
 1317760 12086.70 10274.50     0.00  57822.0      0.0 10274.50     0.00  1.00000
 1368090 12059.30 10256.50     0.00  57822.0      0.0 10256.50     0.00  1.00000
 1418420 12031.10 10232.90     0.00  57822.0      0.0 10232.90     0.00  1.00000
 1468760 12000.10 10204.90     0.00  57822.0      0.0 10204.90     0.00  1.00000
 1519090 11972.20 10173.90     0.00  57822.0      0.0 10173.90     0.00  1.00000
 1569420 11941.40 10141.50     0.00  57822.0      0.0 10141.50     0.00  1.00000
 1619750 11909.80 10109.50     0.00  57822.0      0.0 10109.50     0.00  1.00000
 1670080 11877.20 10076.80     0.00  57822.0      0.0 10076.80     0.00  1.00000
 1720410 11843.70 10043.90     0.00  57822.0      0.0 10043.90     0.00  1.00000
 1770740 11809.20 10010.30     0.00  57822.0      0.0 10010.30     0.00  1.00000
 1821070 11773.70  9976.10     0.00  57822.0      0.0  9976.10     0.00  1.00000
 1871400 11737.30  9941.00     0.00  57822.0      0.0  9941.00     0.00  1.00000
 1921740 11699.80  9905.10     0.00  57822.0      0.0  9905.10     0.00  1.00000
 1972070 11661.20  9868.20     0.00  57822.0      0.0  9868.20     0.00  1.00000
 2022400 11621.60  9830.40     0.00  57822.0      0.0  9830.40     0.00  1.00000
 2072730 11580.90  9791.40     0.00  57822.0      0.0  9791.40     0.00  1.00000
 2123060 11539.10  9751.30     0.00  57822.0      0.0  9751.30     0.00  1.00000
 2173390 11496.20  9710.00     0.00  57822.0      0.0  9710.00     0.00  1.00000
 2223720 11452.10  9667.30     0.00  57822.0      0.0  9667.30     0.00  1.00000
 2274050 11406.90  9623.20     0.00  57822.0      0.0  9623.20     0.00  1.00000
 2324380 11360.40  9577.70     0.00  57822.0      0.0  9577.70     0.00  1.00000
 2374720 11312.70  9530.60     0.00  57822.0      0.0  9530.60     0.00  1.00000
 2425050 11263.90  9481.40     0.00  57822.0      0.0  9481.40     0.00  1.00000
 2475380 11213.70  9429.70     0.00  57822.0      0.0  9429.70     0.00  1.00000
 2525710 11162.30  9376.00     0.00  57822.0      0.0  9376.00     0.00  1.00000
 2576040 11109.50  9320.50     0.00  57822.0      0.0  9320.50     0.00  1.00000
 2626370 11055.50  9263.40     0.00  57822.0      0.0  9263.40     0.00  1.00000
 2676700 11000.10  9204.20     0.00  57822.0      0.0  9204.20     0.00  1.00000
 2727030 10943.40  9142.60     0.00  57822.0      0.0  9142.60     0.00  1.00000
 2777360 10885.20  9079.20     0.00  57822.0      0.0  9079.20     0.00  1.00000
 2827700 10825.70  9013.80     0.00  57822.0      0.0  9013.80     0.00  1.00000
 2878030 10764.70  8946.10     0.00  57822.0      0.0  8946.10     0.00  1.00000
 2928360 10702.30  8876.10     0.00  57822.0      0.0  8876.10     0.00  1.00000
 2978690 10638.50  8803.60     0.00  57822.0      0.0  8803.60     0.00  1.00000
 3029020 10573.10  8728.30     0.00  57822.0      0.0  8728.30     0.00  1.00000
